Question (Generative Setup),Answer (Generative Setup),Positive (Minimal Pairs Setup),Negative (Minimal Pairs Setup),Challenge Set
Om något har tydlig verkan så kan man säga att det tar...,Skruv,Om något har tydlig verkan så kan man säga att det tar skruv.,Om något har tydlig verkan så kan man säga att det tar fart.,
Om man har mycket dålig handstil då skriver man som en...,Kråka,Om man har mycket dålig handstil då skriver man som en kråka.,Om man har mycket dålig handstil då skriver man som en gubbe.,x
Om man jämför saker som inte är jämförbara då jämför man äpplen och...,Päron,Om man jämför saker som inte är jämförbara då jämför man äpplen och päron.,Om man jämför saker som inte är jämförbara då jämför man äpplen och apelsiner.,
När man tar sig an en uppgift man inte är kapabel till då tar man sig vad över huvudet? ,Vatten,När man tar sig an en uppgift man inte är kapabel till då tar man sig vatten över huvudet.,När man tar sig an en uppgift man inte är kapabel till då tar man sig mössan över huvudet.,
När man löser ett besvärligt problem fast man egentligen inte vill då tar man tjuren vid,Hornen,När man löser ett besvärligt problem fast man egentligen inte vill då tar man tjuren vid hornen.,När man löser ett besvärligt problem fast man egentligen inte vill då tar man tjuren vid svansen.,
När man förenar sig med angriparna på ett opportunistiskt sätt då tjuter man med ,"Vargarna, Ulvarna",När man förenar sig med angriparna på ett opportunistiskt sätt då tjuter man med vargarna.,När man förenar sig med angriparna på ett opportunistiskt sätt då tjuter man med hunderna.,
När man är erfaren och mogen då är man vad bakom öronen? ,Torr,När man är erfaren och mogen då är man torr bakom öronen.,När man är erfaren och mogen då är man grön bakom öronen.,
När man är taktlös och gör ett pinsamt misstag då trampar man i ,Klaveret,När man är taktlös och gör ett pinsamt misstag då trampar man i klaveret.,När man är taktlös och gör ett pinsamt misstag då trampar man i kakan.,
När man gör något som verkar omöjligt då trollar man med ,Knäna,När man gör något som verkar omöjligt då trollar man med knäna.,När man gör något som verkar omöjligt då trollar man med fingrarna.,
En överdrivet offentligt förälskat person i ett kärlekspar kallas för en ,Turturduva,En överdrivet offentligt förälskad person i ett kärlekspar kallas för en turturduva.,En överdrivet offentligt förälskad person i ett kärlekspar kallas för en pussgås.,
Om man kommer från en dålig situation i en ännu värre situation då kommer man ur askan i ,Elden,Om man kommer från en dålig situation i en ännu värre situation då kommer man ur askan i elden.,Om man kommer från en dålig situation i en ännu värre situation då kommer man ur askan i regnet.,
Något som är en egen uppfinning kommer ur egen,Fatabur,Något som är en egen uppfinning kommer ur egen fatabur.,Något som är en egen uppfinning kommer ur eget stall.,x
Om man tänker på ett okonventionellt sätt då tänker man utanför,"Ramarna, Boxen",Om man tänker på ett okonventionellt sätt då tänker man utanför ramarna.,Om man tänker på ett okonventionellt sätt då tänker man utanför huvudet.,
När man påbörjar dagen med dåligt humör utan att riktigt veta varför då har man vaknat på fel,Sida ,När man påbörjar dagen med dåligt humör utan att riktigt veta varför då har man vaknat på fel sida.,När man påbörjar dagen med dåligt humör utan att riktigt veta varför då har man vaknat på fel ben.,
Om man måste vara försiktig med vad man säger måste man vakta sin ,Tunga,Om man måste vara försiktig med vad man säger måste man vakta sin tunga.,Om man måste vara försiktig med vad man säger måste man vakta sin mun.,
När den ene är inte bättre än den andre då är de lika goda ,Kålsupare,När den ene inte är bättre än den andre då är de lika goda kålsupare.,När den ene inte är bättre än den andre då är de lika goda gubbar.,x
När man är på ett område som man verkligen känner väl då är man på vems gata? ,"Mammas, Egen ",När man är på ett område som man verkligen känner väl då är man på mammas gata.,När man är på ett område som man verkligen känner väl då är man på pappas gata.,
Något som precis är föremål för diskussion är på ,Tapeten,Något som precis är föremål för diskussion är på tapeten.,Något som precis är föremål för diskussion är på bordet.,
Någon som är helt besegrat är slagen till ,Slant,Någon som är helt besegrad är slagen till slant.,Någon som är helt besegrad är slagen till ruin.,
Någon som är uppe tidigt på morgonen är uppe med ,Tuppen,Någon som är uppe tidigt på morgonen är uppe med tuppen.,Någon som är uppe tidigt på morgonen är uppe med posten.,
Om man har helt missuppfattad något då är man ute och ,Cyklar,Om man har helt missuppfattat något då är man ute och cyklar.,Om man har helt missuppfattat något då är man ute och springer.,x
När man vet var problemet ligger då vet man var skon ,Klämmer,När man vet var problemet ligger då vet man var skon klämmer.,När man vet var problemet ligger då vet man var skon skaver.,
När man anar nya möjligheter t.ex. för ekonomisk eller politisk verksamhet då vädrar man ,Morgonluft,När man anar nya möjligheter t.ex. . för ekonomisk eller politisk verksamhet då vädrar man morgonluft.,När man anar nya möjligheter t.ex. . för ekonomisk eller politisk verksamhet då vädrar man våren.,
När man alltid vänder sina åsikter efter rådande opinion då vänder man vad efter vinden? ,Kappan,När man alltid vänder sina åsikter efter rådande opinion då vänder man kappan efter vinden.,När man alltid vänder sina åsikter efter rådande opinion då vänder man flaggan efter vinden.,
Om man letar överallt efter en lösning då vänder man på varje,Sten,Om man letar överallt efter en lösning då vänder man på varje sten.,Om man letar överallt efter en lösning då vänder man på varje löv.,
När man är väldigt sparsamt och försiktig med utgifterna då vänder man på ,Slantarna,När man är väldigt sparsam och försiktig med utgifterna då vänder man på slantarna.,När man är väldigt sparsam och försiktig med utgifterna då vänder man på kvist.,
Någon som är helt förvirrad är yr i ,Mössan,Någon som är helt förvirrad är yr i mössan.,Någon som är helt förvirrad är yr i hatten.,x
När man inte försöker att nå ytterligare framgångar då vilar man på,"Lagrarna, Laurens ",När man inte försöker att nå ytterligare framgångar då vilar man på lagrarna.,När man inte försöker att nå ytterligare framgångar då vilar man på rosorna.,
När man klarar en uppgift som är viktig för framgången då består man ett,Eldprov,När man klarar en uppgift som är viktig för framgången då består man ett eldprov,När man klarar en uppgift som är viktig för framgången då består man ett vattenprov,
När man blir lurad på något värdefullt då blir man snuvat på,Konfekten,När man blir lurad på något värdefullt då blir man snuvad på konfekten.,När man blir lurad på något värdefullt då blir man snuvad på tårtan.,x
När man låtsas göra en sak men gör något annat då ber man för sin sjuka,Mor,När man låtsas göra en sak men gör något annat då ber man för sin sjuka mor.,När man låtsas göra en sak men gör något annat då ber man för sin sjuka fru.,
När man försöker komma överens trots meningsskillnader då bygger man,Broar,När man försöker komma överens trots meningsskillnader då bygger man broar.,När man försöker komma överens trots meningsskillnader då bygger man hus.,
När man får sparken utan motivering så är det ett avsked på papper i vilket färg?,Grått,När man får sparken utan motivering så är det ett avsked på grått papper.,När man får sparken utan motivering så är det ett avsked på svart papper.,
Någon som tränger sig fram utan hänsyn till andra har vassa,Armbågar,Någon som tränger sig fram utan hänsyn till andra har vassa armbågar.,Någon som tränger sig fram utan hänsyn till andra har vassa knä.,
Ett uttryck för att sprida information alldeles för högljutt är at … ut.,Basunera,Ett uttryck för att sprida information alldeles för högljutt är att basunera ut.,Ett uttryck för att sprida information alldeles för högljutt är att trompeta ut.,
När man går till fots använder man vilka djur eller fordon? ,Apostlahästarna,När man går till fots använder man apostlahästarna.,När man går till fots använder man människoben.,
När allt kan händer säger man också att bollen är ,Rund,När allt kan hända säger man också att bollen är rund.,När allt kan hända säger man också att bollen är snabb.,
Ett uttryck för att duka fram mycket mat eller dryck är att … upp.,Bulla,Ett uttryck för att duka fram mycket mat eller dryck är att bulla upp.,Ett uttryck för att duka fram mycket mat eller dryck är att kaka upp.,x
Någon som alltid gör vad någon annan vill dansar efter hens ,Pipa,Någon som alltid gör vad någon annan vill dansar efter hens pipa.,Någon som alltid gör vad någon annan vill dansar efter hens röst.,
Att begära penning och rikdom kallas också för dansen runt,Guldkalven,Att begära pengar och rikedom kallas också för dansen runt guldkalven.,Att begära pengar och rikedom kallas också för dansen runt guldoxen.,
När något eller någon åter är där det började är vad sluten? ,Cirkeln,När något eller någon åter är där det började är cirkeln sluten.,När något eller någon åter är där det började är ringen sluten.,
När man dör drar man sin sista,Suck,När man dör drar man sin sista suck. ,När man dör drar man sin sista vift. ,
Hela poängen av något kallas även för det fina i ,Kråksången,Hela poängen av något kallas även för det fina i kråksången.,Hela poängen av något kallas även för det fina i duvboet.,x
När man får bevis för något som har varit uppenbart och omtalats då bär man syn för ,Sägen,När man får bevis för något som har varit uppenbart och omtalats då bär man syn för sägen.,När man får bevis för något som har varit uppenbart och omtalats då bär man syn för sagan.,x
När man inte använda minsta våld då krökar man inte ett hår på någons,Huvud,När man inte använder minsta våld då kröker man inte ett hår på någons huvud.,När man inte använder minsta våld då kröker man inte ett hår på någons päls.,
Något som stresser någon under en längre period ger hen grå ,Hår,Något som stressar någon under en längre period ger hen grå hår.,Något som stressar någon under en längre period ger hen grå skägg.,
Det enda som ska lösa alla problem är det allena,Saliggörande,Det enda som ska lösa alla problem är det allena saliggörande.,Det enda som ska lösa alla problem är det allena frälsande.,
När det inte spelar någon roll vilket alternativ man väljer är det hugget som ,Stucket,När det inte spelar någon roll vilket alternativ man väljer är det hugget som stucket.,När det inte spelar någon roll vilket alternativ man väljer är det hugget som hållit.,
När man börjar leva under knappare ekonomiska förhållanden då drar man åt ,Svångremmen,När man börjar leva under knappare ekonomiska förhållanden då drar man åt svångremmen.,När man börjar leva under knappare ekonomiska förhållanden då drar man åt bältet.,
När man anar oråd och blir försiktig då drar man vad åt sig? ,Öronen,När man anar oråd och blir försiktig då drar man öronen åt sig.,När man anar oråd och blir försiktig då drar man benen åt sig.,
När en fråga är kontroversiell och inte har ett allmänt accepterat svar säger man: Därom tvistar de ,Lärde,När en fråga är kontroversiell och inte har ett allmänt accepterat svar säger man: Därom tvistar de lärde. ,När en fråga är kontroversiell och inte har ett allmänt accepterat svar säger man: Därom tvistar de vise. ,
En hämmande faktor är en vad om foten? ,Black,En hämmande faktor är en black om foten.,En hämmande faktor är en sten om foten.,
En särskild merit är en vad i hatten? ,Fjäder,En särskild merit är en fjäder i hatten.,En särskild merit är ett band i hatten.,
En mycket ond människa kan kallas för ett hår av,Hin,En mycket ond människa kan kallas för ett hår av Hin.,En mycket ond människa kan kallas för ett hår av jäveln.,x
När man skaffar fördelar genom att utnyttja förvirring eller stridigheter eller någons betryckta läge då gör man vad i grumligt vatten? ,Fiska,När man skaffar fördelar genom att utnyttja förvirring eller stridigheter eller någons betryckta läge då fiskar man i grumligt vatten.,När man skaffar fördelar genom att utnyttja förvirring eller stridigheter eller någons betryckta läge då simmar man i grumligt vatten.,
Ett företags främsta produkt kallas också för ,Flaggskepp,Ett företags främsta produkt kallas också för flaggskepp.,Ett företags främsta produkt kallas också för kronjuvel.,
När man vill betona den långa vägen till den färdiga produkten från den första idén använder man uttrycket från ax till ,Limpa,När man vill betona den långa vägen till den färdiga produkten från den första idén använder man uttrycket från ax till limpa.,När man vill betona den långa vägen till den färdiga produkten från den första idén använder man uttrycket från ax till bröd.,
När man blir inspirerad att ägna sig mer aktivt åt något får man blodad,Tand ,När man blir inspirerad att ägna sig mer aktivt åt något får man blodad tand.,När man blir inspirerad att ägna sig mer aktivt åt något får man blodad näsa.,
När man ångrar ett beslut och inte längre vågar något då får man kalla,Fötter,När man ångrar ett beslut och inte längre vågar något då får man kalla fötter.,När man ångrar ett beslut och inte längre vågar något då får man kalla händer.,
Sedan länge olösta problem som man undviker kallas för gamla ,Surdegar ,Sedan länge olösta problem som man undviker kallas för gamla surdegar.,Sedan länge olösta problem som man undviker kallas för gamla fiskar.,x
När man lugnar en upprörd situation då gulnar man olja på ,Vågorna,När man lugnar en upprörd situation då häller man olja på vågorna.,När man lugnar en upprörd situation då häller man olja på älven.,
"Den sista utvägen, som sannolikt inte kommer att hjälpa heller, är det sista ",Halmstrået,"Den sista utvägen, som sannolikt inte kommer att hjälpa heller, är det sista halmstrået.","Den sista utvägen, som sannolikt inte kommer att hjälpa heller, är det sista tändstickan.",
När man begår brott och går “syndens väg” då går man den _ vägen.,Breda ,När man begår brott och går “syndens väg” då går man den breda vägen.,När man begår brott och går “syndens väg” då går man den sista vägen.,
När kylan tränger sig in i kroppen genom kläderna går den genom _ och ben. ,Märg ,När kylan tränger sig in i kroppen genom kläderna går den genom märg och ben.,När kylan tränger sig in i kroppen genom kläderna går den genom kött och ben.,
När man framträder till försvar för någon då går man i ,Bräschen,När man framträder till försvar för någon då går man i bräschen.,När man framträder till försvar för någon då går man i huk.,
När många beger sig iväg till ett evenemang eller liknande då går man man ur ,Huse,När många beger sig iväg till ett evenemang eller liknande då går man man ur huse.,När många beger sig iväg till ett evenemang eller liknande då går man man ur huset.,
Någon som tiggar komplimanger på ett alltför tydligt sätt gåt med ,Håven,Någon som tiggar komplimanger på ett alltför tydligt sätt går med håven.,Någon som tiggar komplimanger på ett alltför tydligt sätt går med korgen.,x
När man tar sig fram oberoende av markens beskaffenhet då går man över stock och ,Sten,När man tar sig fram oberoende av markens beskaffenhet då går man över stock och sten.,När man tar sig fram oberoende av markens beskaffenhet då går man över stock och rot.,
En välmenad tjänst som får negativer följder kallas för en ,Björntjänst ,En välmenad tjänst som får negativa följder kallas för en björntjänst.,En välmenad tjänst som får negativa följder kallas för en grodtjänst.,
När man har gjort ett stort fel som kan få stora konsekvenser då har man gjort en ,Tavla,När man har gjort ett stort fel som kan få stora konsekvenser då har man gjort en tavla.,När man har gjort ett stort fel som kan få stora konsekvenser då har man gjort en tagg.,
Någon som inte är mottaglig för avvikande åsikter och ger ett aggressivt bemötande har alla vad utåt? ,Taggar,Någon som inte är mottaglig för avvikande åsikter och ger ett aggressivt bemötande har alla taggar utåt.,Någon som inte är mottaglig för avvikande åsikter och ger ett aggressivt bemötande har alla tänder utåt.,
När man har ett speciellt ämne eller agenda som man alltid vill diskutera då har man en ,Kapphäst,När man har ett speciellt ämne eller agenda som man alltid vill diskutera då har man en käpphäst.,När man har ett speciellt ämne eller agenda som man alltid vill diskutera då har man en nallebjörn.,
Någon som inte tänker sig för stoppar huvudet under ,Armen,Någon som inte tänker sig för stoppar huvudet under armen.,Någon som inte tänker sig för stoppar huvudet under axeln.,
Någon som är mångsidig har många strängar på sin ,Lyra,Någon som är mångsidig har många strängar på sin lyra.,Någon som är mångsidig har många strängar på sin fiol.,x
När man håller på med något oväsentligt som irriterar andra har man vad på det? ,Pippi,När man håller på med något oväsentligt som irriterar andra har man pippi på det.,När man håller på med något oväsentligt som irriterar andra har man sparv på det.,x
Någon som är modig och har moralisk styrka har vad i ryggen? ,Råg,Någon som är modig och har moralisk styrka har råg i ryggen.,Någon som är modig och har moralisk styrka har ryggrad i ryggen.,
Någon som är bra ekonomiskt ställt har sitt på det ,Torra,Någon som är bra ekonomiskt ställt har sitt på det torra.,Någon som är bra ekonomiskt ställt har sitt på det säkra.,
Någon som är ovanligt generös har på sig,Spenderbyxorna,Någon som är ovanligt generös har på sig spenderbyxorna.,Någon som är ovanligt generös har med sig guldkalven.,
När man ser mycket olycklig ut så ser man ut som om man har sålt vad och tappat pengarna? ,Smöret,När man ser mycket olycklig ut så ser man ut som om man har sålt smöret och tappat pengarna.,När man ser mycket olycklig ut så ser man ut som om man har sålt mjölken och tappat pengarna.,x
Något som är bortom all logik är helt uppåt,Väggarna,Något som är bortom all logik är helt uppåt väggarna.,Något som är bortom all logik är helt uppåt taket.,
Om man fortsätter hålla högsta kvalité och inte faller för frestelsen att börja småslarva då håller man vad högt? ,Fanan,Om man fortsätter hålla högsta kvalité och inte faller för frestelsen att börja småslarva då håller man fanan högt.,Om man fortsätter hålla högsta kvalité och inte faller för frestelsen att börja småslarva då håller man vimpeln högt.,
När man är alldeles naken då är man i bara,Mässing,När man är alldeles naken då är man i bara mässing.,När man är alldeles naken då är man i bara kött.,
Att handla utan eftertanke kring de eventuella konsekvenserna kallas också för att gå dit vad pekar? ,Näsan,Att handla utan eftertanke kring de eventuella konsekvenserna kallas också för att gå dit näsan pekar.,Att handla utan eftertanke kring de eventuella konsekvenserna kallas också för att gå dit solen pekar.,
Företeelser av mindre vikt som sker som ett resultat av något större och viktigare händer i ,Kölvattnet,Företeelser av mindre vikt som sker som ett resultat av något större och viktigare händer i kölvattnet.,Företeelser av mindre vikt som sker som ett resultat av något större och viktigare händer i skuggan.,
Istället av “i sinom tid” kan man också säga i vems tid?,Simons,Istället för “i sinom tid” kan man också säga i Simons tid.,Istället för “i sinom tid” kan man också säga i Eriks tid.,
Något som är väldigt svårt att åstadkomma är inget man _ ur näsan?,Snyter,Något som är väldigt svårt att åstadkomma är inget man snyter ur näsan.,Något som är väldigt svårt att åstadkomma är inget man drar ur näsan.,
Något som är väldigt svårt att åstadkomma är inte gjort på en,Kafferast ,Något som är väldigt svårt att åstadkomma är inte gjort på en kafferast.,Något som är väldigt svårt att åstadkomma är inte gjort på en kväll.,x
När man inte anstränger sig det minsta för att bidra till att något blir åtgärdat så lägger man inte två vad i kors? ,Strån,När man inte anstränger sig det minsta för att bidra till att något blir åtgärdat så lägger man inte två strån i kors.,När man inte anstränger sig det minsta för att bidra till att något blir åtgärdat så lägger man inte två pennor i kors.,x
Något som inte har hänt sedan mycket länge sedan har inte hänt sedan vad brann? ,Eldkvarn,Något som inte har hänt sedan mycket länge har inte hänt sedan Eldkvarn brann.,Något som inte har hänt sedan mycket länge har inte hänt sedan himlen brann.,x
Något mycket bra som någon erbjuds utan krav på motprestation är serverat som på ,Silverfat,Något mycket bra som någon erbjuds utan krav på motprestation är serverat som på silverfat.,Något mycket bra som någon erbjuds utan krav på motprestation är serverat som på bricka.,
Att vara tyst kan också uttryckas som att inte säga vad?,Flaska,Att vara tyst kan också uttryckas som att inte säga flaska.,Att vara tyst kan också uttryckas som att inte säga mugg.,x
När man försöker skynda på någon då jagar man hen med ,Blåslampa,När man försöker skynda på någon då jagar man hen med blåslampa.,När man försöker skynda på någon då jagar man hen med lötkryta. ,x
När något kommer garanterat att gå illa så barker det åt ,Skogen,När något garanterat kommer att gå illa så barkar det åt skogen.,När något garanterat kommer att gå illa så barkar det åt vargarna.,x
När man vill att någon ska försvinna säger man att hen ska dra dit vad växer? ,Pepparn,När man vill att någon ska försvinna säger man att hen ska dra dit pepparn växer.,När man vill att någon ska försvinna säger man att hen ska dra dit kaffet växer.,
När man är försedd med ett överflod av vapen då är man beväpnad till ,Tänderna ,När man är försedd med ett överflöd av vapen då är man beväpnad till tänderna.,När man är försedd med ett överflöd av vapen då är man beväpnad till benen.,
När man oavsiktligt inbjuder till kritik då binder man vad åt egen rygg? ,Ris ,När man oavsiktligt inbjuder till kritik då binder man ris åt egen rygg.,När man oavsiktligt inbjuder till kritik då binder man tavlan åt egen rygg.,
När man är tvungen att foga sig och göra något som man vet är negativt då biter man i det sura,Äpplet,När man är tvungen att foga sig och göra något som man vet är negativt då biter man i det sura äpplet.,När man är tvungen att foga sig och göra något som man vet är negativt då biter man i det sura bladet.,
Något som är bråttom brinner i ,Knutarna,Något som är bråttom brinner i knutarna.,Något som är bråttom brinner i skeppet.,
När man handlar så att man förlorar alla sina möjligheter att återvända då brinner man sina,"Skepp, Broar",När man handlar så att man förlorar alla sina möjligheter att återvända då bränner man sina skepp.,När man handlar så att man förlorar alla sina möjligheter att återvända då bränner man sin gård.,
När man arbetar för hårt och inte lyckas hushålla med sina krafter då bränner man sitt vad i båda ändar?,Ljus,När man arbetar för hårt och inte lyckas hushålla med sina krafter då bränner man sitt ljus i båda ändar.,När man arbetar för hårt och inte lyckas hushålla med sina krafter då bränner man sitt papper i båda ändar.,
När man fantiserar och överdriver positiva sidor av något då bygger man ,Luftslott,När man fantiserar och överdriver positiva sidor av något då bygger man luftslott.,När man fantiserar och överdriver positiva sidor av något då bygger man hus.,
När man vill förbruka något men ändå ha det kvar då vill man båda ha och äta ,"Kakan, Tårtan ",När man vill förbruka något men ändå ha det kvar då vill man både ha och äta kakan.,När man vill förbruka något men ändå ha det kvar då vill man både ha och äta korven.,
När man är överdrivet säkerhetsmedveten eller försiktig vill man ha båda hängslen och ,Livrem,När man är överdrivet säkerhetsmedveten eller försiktig vill man ha både hängslen och livrem.,När man är överdrivet säkerhetsmedveten eller försiktig vill man ha både hängslen och bältet.,
Att börja om på nytt är att börja på ny ,Kula,Att börja om på nytt är att börja på ny kula.,Att börja om på nytt är att börja på nytt blad.,x
En fråga som prioriterats ner i angelägenhetsgrad hamnar i ,Bakvattnet,En fråga som prioriterats ner i angelägenhetsgrad hamnar i bakvattnet.,En fråga som prioriterats ner i angelägenhetsgrad hamnar i kölvattnet.,
När man förlorar det som är bra när man gör sig av med det man anser vara värdelöst då kastar man ut barnet med ,Badvattnet,När man förlorar det som är bra när man gör sig av med det man anser vara värdelöst då kastar man ut barnet med badvattnet.,När man förlorar det som är bra när man gör sig av med det man anser vara värdelöst då kastar man ut barnet med soppåsen.,
Att genom upprepade ansträngningar försöker rädda en hopplös situation är att kasta goda vad efter dåliga?,Pengar,Att genom upprepade ansträngningar försöka rädda en hopplös situation är att kasta goda pengar efter dåliga.,Att genom upprepade ansträngningar försöka rädda en hopplös situation är att kasta goda korn efter dåliga.,
Något stort och imponerande som står på svag grund och därför lätt kan falla omkull är en koloss på ,Lerfötter ,Något stort och imponerande som står på svag grund och därför lätt kan falla omkull är en koloss på lerfötter.,Något stort och imponerande som står på svag grund och därför lätt kan falla omkull är en koloss på leran.,
När man får det bra ekonomiskt så kommer man på grön ,Kvist,När man får det bra ekonomiskt så kommer man på grön kvist.,När man får det bra ekonomiskt så kommer man på grön sedel.,
När man får visa sin underdånighet då får man kräla i ,Stoftet ,När man får visa sin underdånighet då får man kräla i stoftet.,När man får visa sin underdånighet då får man kräla i sanden.,
Att kunna utföra en till synes omöjlig uppgift är att kunna försätta vad? ,Berg ,Att kunna utföra en till synes omöjlig uppgift är att kunna försätta berg.,Att kunna utföra en till synes omöjlig uppgift är att kunna försätta hus.,
När man inte stå för vad man tycker utan rätta sin uppfattning efter vad andra anser då känner man hur vinden ,Blåser ,När man inte står för vad man tycker utan rättar sin uppfattning efter vad andra anser då känner man hur vinden blåser.,När man inte står för vad man tycker utan rättar sin uppfattning efter vad andra anser då känner man hur vinden vänder.,
Något som ligger obrukat ligger för ,Fäfot,Något som ligger obrukat ligger för fäfot.,Något som ligger obrukat ligger för senare.,
När man inte röster i ett val då ligger man på ,Sofflocket,När man inte röstar i ett val då ligger man på sofflocket.,När man inte röstar i ett val då ligger man på soffan.,x
Något som är föremål för omprövning och diskussion ligger i ,Stöpsleven,Något som är föremål för omprövning och diskussion ligger i stöpsleven.,Något som är föremål för omprövning och diskussion ligger i tapeten.,x
Att ge inblick i något som omges av sekretess är att lyfta på ,Förlåten ,Att ge inblick i något som omges av sekretess är att lyfta på förlåten.,Att ge inblick i något som omges av sekretess är att lyfta på gardinen.,
Att anstränga sig över sin förmåga är att lyfta sig själv i ,Håret ,Att anstränga sig över sin förmåga är att lyfta sig själv i håret.,Att anstränga sig över sin förmåga är att lyfta sig själv i näsan.,
Att bromsa och hindra något är att lägga en vad på något? ,Hämsko,Att bromsa och hindra något är att lägga en hämsko på något.,Att bromsa och hindra något är att lägga en sten på något.,
Att genomgå en planerad kirurgisk operation kallas också för att lägga sig under ,Kniven,Att genomgå en planerad kirurgisk operation kallas också för att lägga sig under kniven.,Att genomgå en planerad kirurgisk operation kallas också för att lägga sig under ljuset.,
När man slutar att utöva en sport lägger man vad på hyllan? ,Skorna,När man slutar att utöva en sport lägger man skorna på hyllan.,När man slutar att utöva en sport lägger man hatten på hyllan.,
När man läxar upp någon läser man vad av hen? ,Lusen,När man läxar upp någon läser man lusen av hen.,När man läxar upp någon läser man benet av hen.,
När man likställer alla utan hänsyn till individuella egenskaper då drar man alla över en ,Kam ,När man likställer alla utan hänsyn till individuella egenskaper då drar man alla över en kam.,När man likställer alla utan hänsyn till individuella egenskaper då drar man alla över en säng.,
Någonting man verkligen har behov av och som kommer oväntat är en skänk från ,Ovan ,Någonting man verkligen har behov av och som kommer oväntat är en skänk från ovan.,Någonting man verkligen har behov av och som kommer oväntat är en skänk från himlen.,
Ett misslyckad försök är ett slag i ,Luften,Ett misslyckat försök är ett slag i luften.,Ett misslyckat försök är ett slag i himlen.,
"När man är ödmjuk, respektfull mot en överhet står man med vad i handen? ",Mössan,"När man är ödmjuk, respektfull mot en överhet står man med mössan i handen.","När man är ödmjuk, respektfull mot en överhet står man med hatten i handen.",
Någon som befinner sig i en ekonomisk situation där man nätt och jämnt klarar sig står med näsan ovanför vad? ,Vattenytan,Någon som befinner sig i en ekonomisk situation där man nätt och jämnt klarar sig står med näsan ovanför vattenytan.,Någon som befinner sig i en ekonomisk situation där man nätt och jämnt klarar sig står med näsan ovanför vattnet.,
När man tar ut det trevliga ur något och lämnar resten då plockar man vad ur kakan? ,Russin,När man tar ut det trevliga ur något och lämnar resten då plockar man russin ur kakan,När man tar ut det trevliga ur något och lämnar resten då plockar man korsbär ur kakan,
När man fokuserar på småsaker och inte beaktar det som verkligen är viktigt då silar man mygg och svälter ,Kameler,När man fokuserar på småsaker och inte beaktar det som verkligen är viktigt då silar man mygg och sväljer kameler.,När man fokuserar på småsaker och inte beaktar det som verkligen är viktigt då silar man mygg och sväljer elefanter.,
Den sista åtgärd eller händelse som slutligen resulterar i att något definitivt är förlorat är sista spikan i ,Kistan,Den sista åtgärden eller händelsen som slutligen resulterar i att något definitivt är förlorat är sista spiken i kistan.,Den sista åtgärden eller händelsen som slutligen resulterar i att något definitivt är förlorat är sista spiken i banken.,
När man är i klämma sitter man med skägget i ,Brevlådan,När man är i klämma sitter man med skägget i brevlådan.,När man är i klämma sitter man med skägget i stolen.,x
När man har det gott ställt då är man uppe i ,Smöret,När man har det gott ställt då är man uppe i smöret.,När man har det gott ställt då är man uppe i mjölken.,x
När man ser lidande ut ser man ut som hur många svåra år? ,"Sju, 7",När man ser lidande ut ser man ut som sju svåra år.,När man ser lidande ut ser man ut som tretton svåra år.,
Någon som är gapande av förvåning står som en  ,Fågelholk,Någon som är gapande av förvåning står som en fågelholk.,Någon som är gapande av förvåning står som en åsna.,x
När man går sin väg i stället för att bara klaga då gör man vad med fötterna? ,"Rösta, Röster",När man går sin väg istället för att bara klaga då röstar man med fötterna.,När man går sin väg istället för att bara klaga då jobbar man med fötterna.,
När man samlar på sig tillgångar för eventuella framtida behov vid osäkra framtidsutsikter då samlar man i ,Ladorna,När man samlar på sig tillgångar för eventuella framtida behov vid osäkra framtidsutsikter då samlar man i ladorna.,När man samlar på sig tillgångar för eventuella framtida behov vid osäkra framtidsutsikter då samlar man i fickan.,
När man vet att något är på väg mot undergång då lämnar vilka djur ett sjunkande skepp? ,Råttorna,När man vet att något är på väg mot undergång då lämnar råttorna ett sjunkande skepp.,När man vet att något är på väg mot undergång då lämnar katterna ett sjunkande skepp.,
"Att festa vilt, ofta på restaurang, kallas också för att rulla ",Hatt,"Att festa vilt, ofta på restaurang, kallas också för att rulla hatt.","Att festa vilt, ofta på restaurang, kallas också för att rulla boll.",
Att komma igen efter svåra misslyckanden är att resa sig som vilken fågel ur askan? ,Fenix,Att komma igen efter svåra misslyckanden är att resa sig som Fenix ur askan.,Att komma igen efter svåra misslyckanden är att resa sig som örnen ur askan.,
När man gör något bara för att retas eller trotsa då gör man det på pin ,Kniv ,När man gör något bara för att retas eller trotsa då gör man det på pin kniv.,När man gör något bara för att retas eller trotsa då gör man det på pint svärd.,
När man gör något vårdslöst och slarvigt gör man det på lösa ,Boliner,När man gör något vårdslöst och slarvigt gör man det på lösa boliner.,När man gör något vårdslöst och slarvigt gör man det på lösa skruvar.,
Om man äter mycket och gott då smörjer man ,Kråset,Om man äter mycket och gott då smörjer man kråset.,Om man äter mycket och gott då smörjer man brödet.,x
Något som har en högtidlig inramning är pompa och ,Ståt,Något som har en högtidlig inramning är pompa och ståt.,Något som har en högtidlig inramning är pompa och glans.,
När man vill påpeka extra tydligt att något ska göras omgående då pekar man med hela,Handen,När man vill påpeka extra tydligt att något ska göras omgående då pekar man med hela handen.,När man vill påpeka extra tydligt att något ska göras omgående då pekar man med hela kroppen.,
